ngay,YM3601,YM1605,YM2605,YM1601,YM2601
2/28/2022,102520,0,30500,17000,6800
3/1/2022,16000,91500,102500,91500,102500
3/2/2022,59200,111500,114000,111500,114000
3/3/2022,43800,117500,118000,117500,118000
3/4/2022,48200,63000,91000,63000,91000
3/5/2022,54000,0,0,0,0
3/6/2022,45200,0,0,0,0
3/7/2022,79600,0,62500,0,62500
3/8/2022,90600,0,112000,0,112000
3/9/2022,67800,65000,118000,65000,118000
3/10/2022,45000,108500,118500,108500,118500
3/11/2022,93400,0,121500,0,121500
3/12/2022,62920,0,78500,33200,0
3/13/2022,0,0,0,0,0
3/14/2022,41800,37500,64000,26600,64000
3/15/2022,44200,128500,133000,128500,133000
3/16/2022,67600,125000,135500,125000,135500
3/17/2022,88800,134000,134000,134000,134000
3/18/2022,67800,118500,120000,118500,120000
3/19/2022,100880,0,44000,0,44000
3/20/2022,0,0,0,0,0
3/21/2022,75160,0,23500,21360,23500
3/22/2022,94600,0,0,66840,0
3/23/2022,128000,0,0,57200,0
3/24/2022,91000,36500,63000,35600,63000
3/25/2022,71400,107500,125000,107500,125000
3/26/2022,101600,0,39000,20000,39000
